pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
EPIC 220674823 b,4.783863784333516,244.5900000,13.0800239,10.7947051,26.64307957026395,0.0542131730651294,
EPIC 220674823 c,4.726502959008361,244.5900000,13.0800239,10.7947051,30.1239185975381,0.4427817981111247,
EPIC 228836835 b,2,150.1240000,189.5748998,-5.2446247,no data,no data,
EPIC 229004835 b,4.503454342308553,121.9710000,186.4860415,-1.4047214,28.966513214677363,1.014175500733781,
EPIC 246851721 b,2.8928641576247767,372.6320000,78.9198197,16.2786991,25.289787790751085,0.19399836836342557,
EPIC 248847494 b,2.6780332730669283,551.8860000,159.3890808,11.8427484,35.25791903081011,8.153857861949751,
EPIC 249893012 b,6.471839358063667,321.2960000,228.2482353,-16.7246474,28.45262367983264,0.14628255564961906,
EPIC 249893012 c,4.97329650092081,321.2960000,228.2482353,-16.7246474,29.288693887240377,0.4046113241372442,
EPIC 249893012 d,4.97329650092081,321.2960000,228.2482353,-16.7246474,30.276939741949803,0.6847268562322594,
FU Tau b,2,,65.8974962,25.0506711,no data,no data,
G 196-3 b,0,21.7912000,151.0884754,50.3861806,no data,16061.529424721908,
G 264-012 b,4.9063032367972745,16.0090000,326.6719598,66.8038480,no data,1.4235742394902866,
G 264-012 c,5.891472868217054,16.0090000,326.6719598,66.8038480,no data,3.279405334499344,
G 9-40 b,6.924836791497976,27.9276000,134.7188514,21.0747961,30.32948595675571,1.3785645741130637,
GJ 1002 b,3,4.8486700,1.6764641,-7.5462123,no data,9.425265072690035,
GJ 1002 c,3,4.8486700,1.6764641,-7.5462123,no data,15.2206687607117,
GJ 1061 b,4,3.6727800,54.0032486,-44.5143104,no data,5.717739695816249,
GJ 1061 c,4,3.6727800,54.0032486,-44.5143104,no data,9.529566159693747,
GJ 1061 d,4,3.6727800,54.0032486,-44.5143104,no data,14.70275921781321,
GJ 1132 b,8.25999767642658,12.6130000,153.7090696,-47.1549358,29.391424431991723,1.2447474827558866,
GJ 1132 c,6,12.6130000,153.7090696,-47.1549358,no data,3.773884087845874,
GJ 1148 b,3,11.0143000,175.4326081,42.7515862,no data,15.07131637961559,
GJ 1148 c,3,11.0143000,175.4326081,42.7515862,no data,82.80144902535794,
GJ 1151 c,2,8.0362500,177.7304866,48.3732334,no data,71.10281536786437,
GJ 1214 b,6.297506809039269,14.6427000,258.8313991,4.9606795,28.91779178815265,1.0278159082682838,
GJ 1252 b,5.054828869506715,20.3730000,306.9286462,-56.4622865,no data,no data,
GJ 1265 b,2,10.2525000,333.4324675,-17.6870623,no data,2.5359668373567423,
GJ 143 b,7.842557139335628,16.3200000,51.7501882,-63.5001660,27.520948801798447,11.73406862745098,
GJ 15 A b,3,3.5622800,4.6126677,44.0247296,no data,20.21177448151184,
GJ 15 A c,3,3.5622800,4.6126677,44.0247296,no data,1515.8830861133883,
GJ 160.2 b,1.840349666436623,25.8557000,61.6454173,-20.8564724,no data,2.0498381401393115,
GJ 163 b,2,15.1285000,62.3228353,-53.3711768,no data,4.012294675612255,
GJ 163 c,2,15.1285000,62.3228353,-53.3711768,no data,8.28899097729451,
GJ 163 d,2,15.1285000,62.3228353,-53.3711768,no data,68.10985887563207,
GJ 179 b,2,12.3560000,73.0245495,6.4752347,no data,195.0469407575267,
GJ 180 b,2,11.9407000,73.4600970,-17.7761940,no data,7.704740928086293,
GJ 180 c,4,11.9407000,73.4600970,-17.7761940,no data,10.803386736120999,
GJ 180 d,2,11.9407000,73.4600970,-17.7761940,no data,25.877879856289834,
GJ 2030 b,1,37.0788000,50.8237604,-7.7950429,no data,0.9169660291055806,
